# 角色预设模板
# 格式：名称|描述

[职业]
学生|在校学生，青春活泼
摩根石鬼|摩根之鬼，粉色浪漫
锂辉石鬼|锂辉之鬼，紫色魅力
红宝石鬼|红宝之鬼，红色炽热
蓝宝石鬼|蓝宝之鬼，蓝色深邃
祖母绿鬼|祖母之鬼，绿色生机
金绿宝石鬼|金绿之鬼，变色神奇
尖晶石鬼|尖晶之鬼，色彩丰富
托帕石鬼|托帕之鬼，黄色温暖
橄榄石鬼|橄榄之鬼，绿色清新
石榴石鬼|石榴之鬼，红色深沉
碧玺鬼|碧玺之鬼，色彩斑斓
坦桑石鬼|坦桑之鬼，蓝色大气

[特殊]
公主|皇室成员，高贵优雅
女王|女性统治者，权威霸气
千金|富裕人家小姐，娇生惯养
贫民|社会底层女性，坚强独立
寡妇|丧夫女性，成熟稳重
修女|宗教女性，纯洁禁欲
尼姑|佛教修行者，清心寡欲
俘虏|被捕获的女性楚楚可怜
人质|被绑架的女性我见犹怜
奴隶|失去自由任人摆布
女王蜂|蜂群统治者，掌控欲强
皇后|皇帝正妻，母仪天下
皇贵妃|皇帝侧室，地位尊贵
贵妃|皇帝妃子，宠冠后宫
嫔妃|皇帝妃嫔，后宫佳丽
贵人|后宫等级，身份贵重
常在|后宫等级，侍奉皇帝
答应|后宫等级，地位较低
秀女|待选入宫，青春貌美
丫鬟|婢女使唤，侍奉主人
婢女|贴身丫鬟，温柔侍奉
丫环|使唤丫鬟，听话乖顺
使女|贴身女仆，侍奉左右
婢子|年轻婢女，可爱动人
妾身|小妾身份，地位卑微
小妾|纳进门，身份低微
外室|养在外面，金屋藏娇
通房|通房丫鬟，特殊身份
侧室|偏房妻子，身份次要
填房|填房妻子，后续进门
夫人|正室夫人，地位尊贵
太太|贵妇称呼，优雅得体
奶奶|老年女性，慈祥可亲
小姐|未嫁女性，大家闺秀
姑娘|年轻女性，青春美丽
闺女|自己女儿，亲密称呼
闺秀|大家闺秀，知书达理
小家碧玉|小户美女，清秀可人
良家妇女|良家女子，传统美德
贤妻良母|贤惠妻子，慈爱母亲
大家闺秀|名门望族，端庄大方
小家碧玉|小户出身，清丽脱俗
良家妇女|清白人家，善良本分
贤妻|贤惠妻子，持家有道
贤母|贤良母亲，慈爱育人
淑女|温柔女子，品德优良
玉女|冰清玉女，高洁无瑕
仙女|九天仙女，美丽动人
神女|神界女子，神秘高贵
圣女|圣洁女子，纯洁无暇
修女|教会修女，虔诚侍主
尼姑|寺庙尼姑，清心寡欲
道姑|道观道姑，清修之士
修士|男性修道士，禁欲修行
僧人|寺庙和尚，诵经念佛
喇嘛|藏传僧人，密法修行
道士|道教道士，修炼成仙
道长|道行高深，仙风道骨
真人|修道真人，返璞归真
天师|张天师，降妖除魔
仙人|修仙成功，超凡脱俗
神人|神级存在，无所不能
精灵|元素精灵，自然之灵
妖精|成精妖怪，魅惑众生
怪物|魔物怪物，恐怖存在
天使|神圣天使，光明化身
堕天使|堕落天使，黑暗面
恶魔|深渊恶魔，邪恶存在
天使长|九翼天使，神圣领袖
炽天使|六翼天使，光明之源
智天使|八翼天使，智慧之光照
力天使|六翼天使，力量象征
座天使|六翼天使，守护宝座
普天使|二翼天使，普通天使
大天使|双翼天使，天界使者
天使|神圣种族，光明磊落
精灵王|精灵王者，种族领袖
精灵女王|精灵女王，母仪天下
精灵公主|精灵公主，高贵优雅
精灵王子|精灵王子，俊美不凡
精灵长老|精灵族智者，德高望重
精灵贤者|精灵智者，知识渊博
精灵使|精灵契约者，魔法伙伴
精灵法师|精灵魔法使，元素操控
精灵射手|精灵弓箭手，远程攻击
精灵战士|精灵武士，近战高手
精灵骑士|精灵骑，忠诚守卫
精灵吟游者|精灵诗人，传颂史诗
精灵游侠|精灵斥候，巡逻边境
精灵刺客|精灵暗杀者，暗中杀手
精灵盗贼|精灵窃贼，灵活机敏
精灵铁匠|精灵锻造，工艺精湛
精灵炼金|精灵炼金，奇妙实验
精灵附魔|精灵附魔，魔法加持
精灵德鲁伊|自然法师，与自然合
精灵女仆|精灵女仆，温柔侍奉
精灵护卫|精灵守卫，保护主人
精灵管家|精灵管家，管理家务
精灵厨师|精灵厨师，烹饪美食
精灵医生|精灵医师，治疗伤病
精灵炼金术士|精灵炼金，研究魔法
精灵附魔师|精灵附魔，魔法加持
精灵召唤师|精灵召唤，契约魔法
精灵诗人|精灵吟游，传颂史诗
精灵歌手|精灵歌唱，天籁之音
精灵舞者|精灵舞蹈，优美动人
精灵画家|精灵绘画，艺术创作
精灵雕塑家|精灵雕塑，三维艺术
精灵建筑师|精灵建筑，宏大设计
精灵工程师|精灵工程，技术精湛
精灵发明家|精灵发明，创造利器
精灵探险家|精灵探险，未知领域
精灵考古学家|精灵考古，研究历史
精灵收藏家|精灵收藏，珍贵物品
精灵商人|精灵贸易，公平交易
精灵银行家|精灵金融，金银管理
精灵贵族|精灵贵族，高贵身份
精灵平民|精灵平民，普通生活
精灵奴隶|精灵奴隶，失去自由
精灵俘虏|精灵战俘，被迫服从
精灵难民|精灵难民，流离失所
精灵流浪者|精灵流浪，四海为家
精灵隐士|精灵隐士，归隐山林
精灵贤者|精灵智者，知识渊博
精灵导师|精灵导师，教导学生
精灵学生|精灵学习魔法知识
精灵学徒|精灵学徒，初学乍练
精灵新人|精灵新加入，简单纯真
精灵长老|精灵族年长者，经验丰富
精灵领袖|精灵族统领，决策英明
精灵女王|精灵族女王，母仪天下
精灵国王|精灵族国王，统治王国
精灵王子|精灵族王子，继承王位
精灵公主|精灵族公主，高贵美丽
精灵骑士|精灵族骑士，忠诚勇敢
精灵战士|精灵族战士，英勇善战
精灵法师|精灵族法师，魔法高强
精灵弓箭手|精灵族射手，百步穿杨
精灵刺客|精灵族杀手，暗中行动
精灵盗贼|精灵族窃贼，轻盈灵活
精灵游侠|精灵族斥候，巡逻边境
精灵吟游诗人|精灵族诗人，传颂故事
精灵歌手|精灵族歌者，优美歌声
精灵舞者|精灵族舞者，优雅舞姿
精灵画家|精灵族画家，色彩斑斓
精灵雕塑家|精灵族雕塑，栩栩如生
精灵音乐家|精灵族乐师，演奏乐器
精灵诗人|精灵族诗人，创作诗歌
精灵作家|精灵族作家，书写故事
精灵学者|精灵族学者，研究知识
精灵科学家|精灵族科学家，探索自然
精灵发明家|精灵族发明家，创新发明
精灵工程师|精灵族工程师，建设家园
精灵建筑师|精灵族建筑师，设计建筑
精灵铁匠|精灵族铁匠，打造武器
精灵炼金术士|精灵族炼金，研究魔法
精灵附魔师|精灵族附魔，增强装备
精灵召唤师|精灵族召唤，契约生物
精灵德鲁伊|精灵族德鲁伊，自然之力
精灵占卜师|精灵族占卜，预言未来
精灵先知|精灵族先知，神谕启示
精灵预言家|精灵族预言，预知未来
精灵治疗师|精灵族治疗，治愈伤病
精灵药师|精灵族药师，炼制药物
精灵厨师|精灵族厨师，烹饪美食
精灵园丁|精灵族园丁，种植花草
精灵牧羊人|精灵族牧羊，照看羊群
精灵渔民|精灵族渔民，捕鱼为生
精灵猎人|精灵族猎人，狩猎野兽
精灵农民|精灵族农民，耕种土地
精灵商人|精灵族商人，经商贸易
精灵银行家|精灵族银行，管理金钱
精灵贵族|精灵族贵族，血统高贵
精灵平民|精灵族平民，普通生活
精灵奴隶|精灵族奴隶，失去自由
精灵俘虏|精灵族俘虏，战后被俘
精灵难民|精灵族难民，离乡背井
精灵流浪者|精灵族流浪，四海为家
精灵隐士|精灵族隐士，归隐山林
精灵贤者|精灵族贤者，智慧老人
精灵导师|精灵族导师，教导学生
精灵学生|精灵族学生，学习魔法
精灵学徒|精灵族学徒，初学魔法
精灵新人|精灵族新人，初来乍到
